T,n
0.920471,1.36879e+20
0.919709,1.377e+20
0.918949,1.38524e+20
0.918189,1.39351e+20
0.917431,1.40183e+20
0.916674,1.41018e+20
0.915919,1.41857e+20
0.915164,1.42699e+20
0.914411,1.43546e+20
0.913659,1.44396e+20
0.912909,1.45249e+20
0.912159,1.46107e+20
0.911411,1.46968e+20
0.910664,1.47832e+20
0.909918,1.48701e+20
0.909174,1.49574e+20
0.90843,1.5045e+20
0.907688,1.5133e+20
0.906947,1.52213e+20
0.906208,1.53101e+20
0.905469,1.53992e+20
0.904732,1.54888e+20
0.903996,1.55787e+20
0.903261,1.5669e+20
0.902527,1.57596e+20
0.901795,1.58507e+20
0.901063,1.59421e+20
0.900333,1.6034e+20
0.899604,1.61262e+20
0.898876,1.62188e+20
0.89815,1.63118e+20
0.897424,1.64052e+20
0.8967,1.6499e+20
0.895977,1.65932e+20
0.895255,1.66878e+20
0.894534,1.67828e+20
0.893815,1.68782e+20
0.893096,1.6974e+20
0.892379,1.70701e+20
0.891663,1.71667e+20
0.890948,1.72637e+20
0.890234,1.73611e+20
0.889521,1.74589e+20
0.88881,1.75571e+20
0.888099,1.76557e+20
0.88739,1.77547e+20
0.886682,1.78541e+20
0.885975,1.79539e+20
0.885269,1.80541e+20
0.884564,1.81547e+20
0.883861,1.82558e+20
0.883158,1.83573e+20
0.882457,1.84591e+20
0.881756,1.85614e+20
0.881057,1.86641e+20
0.880359,1.87672e+20
0.879662,1.88708e+20
0.878966,1.89747e+20
0.878272,1.90791e+20
0.877578,1.91839e+20
0.876885,1.92891e+20
0.876194,1.93947e+20
0.875503,1.95008e+20
0.874814,1.96073e+20
0.874126,1.97142e+20
0.873439,1.98215e+20
0.872753,1.99293e+20
0.872068,2.00374e+20
0.871384,2.01461e+20
0.870701,2.02551e+20
0.870019,2.03646e+20
0.869338,2.04745e+20
0.868659,2.05848e+20
0.86798,2.06956e+20
0.867303,2.08068e+20
0.866626,2.09184e+20
0.865951,2.10305e+20
0.865276,2.1143e+20
0.864603,2.1256e+20
0.863931,2.13694e+20
0.86326,2.14832e+20
0.862589,2.15975e+20
0.86192,2.17122e+20
0.861252,2.18273e+20
0.860585,2.1943e+20
0.859919,2.2059e+20
0.859254,2.21755e+20
0.85859,2.22924e+20
0.857927,2.24098e+20
0.857265,2.25277e+20
0.856604,2.2646e+20
0.855945,2.27647e+20
0.855286,2.28839e+20
0.854628,2.30035e+20
0.853971,2.31236e+20
0.853315,2.32442e+20
0.85266,2.33652e+20
0.852006,2.34867e+20
0.851354,2.36086e+20
0.850702,2.3731e+20
0.850051,2.38538e+20
0.849401,2.39771e+20
0.848752,2.41009e+20
0.848104,2.42251e+20
0.847458,2.43498e+20
0.846812,2.44749e+20
0.846167,2.46006e+20
0.845523,2.47266e+20
0.84488,2.48532e+20
0.844238,2.49802e+20
0.843597,2.51077e+20
0.842957,2.52357e+20
0.842318,2.53641e+20
0.84168,2.5493e+20
0.841043,2.56224e+20
0.840407,2.57522e+20
0.839772,2.58826e+20
0.839137,2.60134e+20
0.838504,2.61447e+20
0.837872,2.62764e+20
0.83724,2.64087e+20
0.83661,2.65414e+20
0.835981,2.66746e+20
0.835352,2.68082e+20
0.834725,2.69424e+20
0.834098,2.70771e+20
0.833472,2.72122e+20
0.832848,2.73478e+20
0.832224,2.74839e+20
0.831601,2.76205e+20
0.830979,2.77576e+20
0.830358,2.78952e+20
0.829738,2.80332e+20
0.829119,2.81718e+20
0.8285,2.83108e+20
0.827883,2.84503e+20
0.827267,2.85904e+20
0.826651,2.87309e+20
0.826037,2.88719e+20
0.825423,2.90134e+20
0.82481,2.91555e+20
0.824198,2.9298e+20
0.823588,2.9441e+20
0.822978,2.95845e+20
0.822368,2.97285e+20
0.82176,2.98731e+20
0.821153,3.00181e+20
0.820546,3.01636e+20
0.819941,3.03097e+20
0.819336,3.04562e+20
0.818733,3.06032e+20
0.81813,3.07508e+20
0.817528,3.08989e+20
0.816927,3.10475e+20
0.816327,3.11965e+20
0.815727,3.13462e+20
0.815129,3.14963e+20
0.814531,3.16469e+20
0.813935,3.1798e+20
0.813339,3.19497e+20
0.812744,3.21019e+20
0.81215,3.22546e+20
0.811557,3.24078e+20
0.810964,3.25615e+20
0.810373,3.27158e+20
0.809782,3.28706e+20
0.809192,3.30259e+20
0.808604,3.31817e+20
0.808016,3.33381e+20
0.807428,3.34949e+20
0.806842,3.36523e+20
0.806257,3.38103e+20
0.805672,3.39687e+20
0.805088,3.41277e+20
0.804505,3.42872e+20
0.803923,3.44473e+20
0.803342,3.46079e+20
0.802761,3.4769e+20
0.802182,3.49306e+20
0.801603,3.50928e+20
0.801025,3.52555e+20
0.800448,3.54188e+20
0.799872,3.55826e+20
0.799297,3.57469e+20
0.798722,3.59118e+20
0.798148,3.60772e+20
0.797575,3.62431e+20
0.797003,3.64096e+20
0.796432,3.65767e+20
0.795862,3.67443e+20
0.795292,3.69124e+20
0.794723,3.70811e+20
0.794155,3.72503e+20
0.793588,3.74201e+20
0.793021,3.75904e+20
0.792456,3.77613e+20
0.791891,3.79327e+20
0.791327,3.81046e+20
0.790764,3.82772e+20
0.790202,3.84502e+20
0.78964,3.86239e+20
0.789079,3.87981e+20
0.788519,3.89728e+20
0.78796,3.91481e+20
0.787402,3.9324e+20
0.786844,3.95004e+20
0.786287,3.96774e+20
0.785731,3.98549e+20
0.785176,4.0033e+20
0.784621,4.02117e+20
0.784068,4.03909e+20
0.783515,4.05707e+20
0.782963,4.07511e+20
0.782411,4.0932e+20
0.781861,4.11135e+20
0.781311,4.12955e+20
0.780762,4.14782e+20
0.780214,4.16614e+20
0.779666,4.18451e+20
0.77912,4.20295e+20
0.778574,4.22144e+20
0.778028,4.23999e+20
0.777484,4.25859e+20
0.77694,4.27726e+20
0.776398,4.29598e+20
0.775855,4.31476e+20
0.775314,4.33359e+20
0.774773,4.35249e+20
0.774234,4.37144e+20
0.773694,4.39045e+20
0.773156,4.40952e+20
0.772618,4.42865e+20
0.772082,4.44784e+20
0.771545,4.46708e+20
0.77101,4.48638e+20
0.770475,4.50574e+20
0.769941,4.52516e+20
0.769408,4.54464e+20
0.768876,4.56418e+20
0.768344,4.58378e+20
0.767813,4.60343e+20
0.767283,4.62315e+20
0.766754,4.64292e+20
0.766225,4.66276e+20
0.765697,4.68265e+20
0.765169,4.7026e+20
0.764643,4.72262e+20
0.764117,4.74269e+20
0.763592,4.76282e+20
0.763068,4.78301e+20
0.762544,4.80326e+20
0.762021,4.82357e+20
0.761499,4.84395e+20
0.760977,4.86438e+20
0.760456,4.88487e+20
0.759936,4.90542e+20
0.759417,4.92604e+20
0.758898,4.94671e+20
0.75838,4.96745e+20
0.757863,4.98824e+20
0.757346,5.0091e+20
0.75683,5.03002e+20
0.756315,5.05099e+20
0.755801,5.07203e+20
0.755287,5.09313e+20
0.754774,5.1143e+20
0.754262,5.13552e+20
0.75375,5.1568e+20
0.753239,5.17815e+20
0.752729,5.19956e+20
0.752219,5.22103e+20
0.75171,5.24256e+20
0.751202,5.26415e+20
0.750694,5.28581e+20
0.750188,5.30753e+20
0.749681,5.32931e+20
0.749176,5.35115e+20
0.748671,5.37305e+20
0.748167,5.39502e+20
0.747664,5.41705e+20
0.747161,5.43914e+20
0.746659,5.46129e+20
0.746157,5.48351e+20
0.745657,5.50579e+20
0.745156,5.52814e+20
0.744657,5.55054e+20
0.744158,5.57301e+20
0.74366,5.59554e+20
0.743163,5.61814e+20
0.742666,5.6408e+20
0.74217,5.66352e+20
0.741675,5.68631e+20
0.74118,5.70916e+20
0.740686,5.73207e+20
0.740192,5.75505e+20
0.7397,5.77809e+20
0.739208,5.80119e+20
0.738716,5.82436e+20
0.738225,5.8476e+20
0.737735,5.8709e+20
0.737246,5.89426e+20
0.736757,5.91768e+20
0.736269,5.94117e+20
0.735781,5.96473e+20
0.735294,5.98835e+20
0.734808,6.01203e+20
0.734322,6.03578e+20
0.733837,6.0596e+20
0.733353,6.08348e+20
0.732869,6.10742e+20
0.732386,6.13143e+20
0.731904,6.15551e+20
0.731422,6.17965e+20
0.730941,6.20385e+20
0.73046,6.22813e+20
0.72998,6.25246e+20
0.729501,6.27687e+20
0.729022,6.30133e+20
0.728544,6.32587e+20
0.728067,6.35047e+20
0.72759,6.37513e+20
0.727114,6.39987e+20
0.726639,6.42466e+20
0.726164,6.44953e+20
0.725689,6.47446e+20
0.725216,6.49946e+20
0.724743,6.52452e+20
0.72427,6.54965e+20
0.723798,6.57485e+20
0.723327,6.60011e+20
0.722857,6.62544e+20
0.722387,6.65084e+20
0.721917,6.6763e+20
0.721449,6.70183e+20
0.720981,6.72743e+20
0.720513,6.7531e+20
0.720046,6.77883e+20
0.71958,6.80463e+20
0.719114,6.8305e+20
0.718649,6.85644e+20
0.718184,6.88244e+20
0.717721,6.90851e+20
0.717257,6.93465e+20
0.716794,6.96086e+20
0.716332,6.98713e+20
0.715871,7.01347e+20
0.71541,7.03988e+20
0.71495,7.06636e+20
0.71449,7.09291e+20
0.714031,7.11953e+20
0.713572,7.14621e+20
0.713114,7.17296e+20
0.712657,7.19978e+20
0.7122,7.22667e+20
0.711744,7.25363e+20
0.711288,7.28066e+20
0.710833,7.30775e+20
0.710379,7.33492e+20
0.709925,7.36215e+20
0.709471,7.38946e+20
0.709019,7.41683e+20
0.708567,7.44427e+20
0.708115,7.47178e+20
0.707664,7.49937e+20
0.707214,7.52702e+20
0.706764,7.55474e+20
0.706314,7.58253e+20
0.705866,7.61039e+20
0.705418,7.63832e+20
0.70497,7.66632e+20
0.704523,7.69439e+20
0.704077,7.72252e+20
0.703631,7.75073e+20
0.703185,7.77901e+20
0.702741,7.80737e+20
0.702297,7.83579e+20
0.701853,7.86428e+20
0.70141,7.89284e+20
0.700967,7.92147e+20
0.700525,7.95018e+20
0.700084,7.97895e+20
0.699643,8.00779e+20
0.699203,8.03671e+20
0.698763,8.0657e+20
0.698324,8.09476e+20
0.697885,8.12389e+20
0.697447,8.15309e+20
0.69701,8.18236e+20
0.696573,8.2117e+20
0.696136,8.24112e+20
0.695701,8.2706e+20
0.695265,8.30016e+20
0.69483,8.32979e+20
0.694396,8.35949e+20
0.693963,8.38927e+20
0.693529,8.41911e+20
0.693097,8.44903e+20
0.692665,8.47902e+20
0.692233,8.50908e+20
0.691802,8.53922e+20
0.691372,8.56942e+20
0.690942,8.5997e+20
0.690512,8.63005e+20
0.690084,8.66048e+20
0.689655,8.69097e+20
0.689227,8.72154e+20
0.6888,8.75218e+20
0.688373,8.7829e+20
0.687947,8.81369e+20
0.687521,8.84455e+20
0.687096,8.87548e+20
0.686672,8.90649e+20
0.686248,8.93757e+20
0.685824,8.96872e+20
0.685401,8.99995e+20
0.684978,9.03125e+20
0.684556,9.06262e+20
0.684135,9.09407e+20
0.683714,9.12559e+20
0.683293,9.15719e+20
0.682874,9.18886e+20
0.682454,9.2206e+20
0.682035,9.25242e+20
0.681617,9.28431e+20
0.681199,9.31627e+20
0.680782,9.34831e+20
0.680365,9.38043e+20
0.679948,9.41261e+20
0.679532,9.44487e+20
0.679117,9.47721e+20
0.678702,9.50962e+20
0.678288,9.54211e+20
0.677874,9.57467e+20
0.677461,9.6073e+20
0.677048,9.64001e+20
0.676636,9.6728e+20
0.676224,9.70566e+20
0.675813,9.73859e+20
0.675402,9.7716e+20
0.674992,9.80469e+20
0.674582,9.83785e+20
0.674172,9.87109e+20
0.673764,9.9044e+20
0.673355,9.93779e+20
0.672948,9.97125e+20
0.67254,1.00048e+21
0.672133,1.00384e+21
0.671727,1.00721e+21
0.671321,1.01059e+21
0.670916,1.01397e+21
0.670511,1.01736e+21
0.670107,1.02076e+21
0.669703,1.02417e+21
0.669299,1.02758e+21
0.668896,1.031e+21
0.668494,1.03443e+21
0.668092,1.03787e+21
0.66769,1.04132e+21
0.667289,1.04477e+21
0.666889,1.04823e+21
