T,n
3.21958,7.00804e+12
3.21027,7.4843e+12
3.20102,7.98996e+12
3.19183,8.52666e+12
3.18269,9.0961e+12
3.1736,9.70006e+12
3.16456,1.03404e+13
3.15557,1.10191e+13
3.14663,1.17383e+13
3.13775,1.25e+13
3.12891,1.33065e+13
3.12012,1.41602e+13
3.11139,1.50636e+13
3.1027,1.60191e+13
3.09406,1.70296e+13
3.08547,1.80978e+13
3.07692,1.92267e+13
3.06843,2.04193e+13
3.05998,2.16789e+13
3.05157,2.30088e+13
3.04321,2.44125e+13
3.0349,2.58937e+13
3.02663,2.74561e+13
3.01841,2.91037e+13
3.01023,3.08407e+13
3.0021,3.26714e+13
2.99401,3.46002e+13
2.98597,3.66319e+13
2.97796,3.87713e+13
2.97,4.10235e+13
2.96209,4.33937e+13
2.95421,4.58875e+13
2.94638,4.85106e+13
2.93858,5.1269e+13
2.93083,5.41687e+13
2.92312,5.72163e+13
2.91545,6.04184e+13
2.90782,6.37819e+13
2.90023,6.73142e+13
2.89268,7.10225e+13
2.88517,7.49149e+13
2.8777,7.89992e+13
2.87026,8.32839e+13
2.86287,8.77778e+13
2.85551,9.24897e+13
2.84819,9.7429e+13
2.84091,1.02606e+14
2.83366,1.08029e+14
2.82646,1.13711e+14
2.81928,1.1966e+14
2.81215,1.2589e+14
2.80505,1.32411e+14
2.79799,1.39234e+14
2.79096,1.46374e+14
2.78396,1.53842e+14
2.77701,1.61652e+14
2.77008,1.69817e+14
2.76319,1.78352e+14
2.75634,1.87272e+14
2.74952,1.96592e+14
2.74273,2.06327e+14
2.73598,2.16494e+14
2.72926,2.2711e+14
2.72257,2.38192e+14
2.71592,2.49758e+14
2.70929,2.61826e+14
2.7027,2.74417e+14
2.69614,2.87549e+14
2.68962,3.01243e+14
2.68312,3.1552e+14
2.67666,3.30402e+14
2.67023,3.45911e+14
2.66383,3.6207e+14
2.65745,3.78904e+14
2.65111,3.96437e+14
2.6448,4.14694e+14
2.63852,4.33702e+14
2.63227,4.53487e+14
2.62605,4.74078e+14
2.61986,4.95502e+14
2.6137,5.1779e+14
2.60756,5.40972e+14
2.60146,5.65078e+14
2.59538,5.90142e+14
2.58933,6.16196e+14
2.58331,6.43275e+14
2.57732,6.71413e+14
2.57136,7.00648e+14
2.56542,7.31015e+14
2.55951,7.62553e+14
2.55363,7.95301e+14
2.54777,8.29301e+14
2.54194,8.64593e+14
2.53614,9.0122e+14
2.53036,9.39226e+14
2.52461,9.78656e+14
2.51889,1.01956e+15
2.51319,1.06198e+15
2.50752,1.10596e+15
2.50188,1.15156e+15
2.49626,1.19884e+15
2.49066,1.24783e+15
2.48509,1.2986e+15
2.47954,1.3512e+15
2.47402,1.40569e+15
2.46853,1.46213e+15
2.46305,1.52057e+15
2.45761,1.58109e+15
2.45218,1.64374e+15
2.44678,1.70859e+15
2.44141,1.7757e+15
2.43605,1.84515e+15
2.43072,1.917e+15
2.42542,1.99132e+15
2.42014,2.06819e+15
2.41488,2.14769e+15
2.40964,2.22989e+15
2.40442,2.31487e+15
2.39923,2.40271e+15
2.39406,2.4935e+15
2.38892,2.58731e+15
2.38379,2.68424e+15
2.37869,2.78438e+15
2.37361,2.88781e+15
2.36855,2.99464e+15
2.36351,3.10495e+15
2.35849,3.21885e+15
2.35349,3.33642e+15
2.34852,3.45779e+15
2.34357,3.58304e+15
2.33863,3.71229e+15
2.33372,3.84565e+15
2.32883,3.98323e+15
2.32396,4.12514e+15
2.31911,4.2715e+15
2.31428,4.42244e+15
2.30947,4.57806e+15
2.30468,4.7385e+15
2.29991,4.90388e+15
2.29516,5.07434e+15
2.29043,5.25001e+15
2.28571,5.43102e+15
2.28102,5.61752e+15
2.27635,5.80964e+15
2.27169,6.00752e+15
2.26706,6.21133e+15
2.26244,6.4212e+15
2.25785,6.6373e+15
2.25327,6.85978e+15
2.24871,7.08879e+15
2.24417,7.32451e+15
2.23964,7.56711e+15
2.23514,7.81674e+15
2.23065,8.07359e+15
2.22618,8.33783e+15
2.22173,8.60965e+15
2.21729,8.88922e+15
2.21288,9.17674e+15
2.20848,9.4724e+15
2.2041,9.7764e+15
2.19974,1.00889e+16
2.19539,1.04102e+16
2.19106,1.07404e+16
2.18675,1.10798e+16
2.18245,1.14285e+16
2.17817,1.17868e+16
2.17391,1.2155e+16
2.16967,1.25331e+16
2.16544,1.29216e+16
2.16123,1.33205e+16
2.15703,1.37302e+16
2.15285,1.41509e+16
2.14869,1.45829e+16
2.14454,1.50263e+16
2.14041,1.54815e+16
2.1363,1.59487e+16
2.1322,1.64282e+16
2.12811,1.69203e+16
2.12404,1.74252e+16
2.11999,1.79432e+16
2.11595,1.84746e+16
2.11193,1.90197e+16
2.10793,1.95788e+16
2.10393,2.01522e+16
2.09996,2.07402e+16
2.096,2.13432e+16
2.09205,2.19613e+16
2.08812,2.2595e+16
2.0842,2.32446e+16
2.0803,2.39105e+16
